## Burnley FC — Musim 23/24

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
|---|--------|--------|------|------------|----------------|-------------|
| - | Dean Henderson | Kiper | 26 | England | Crystal Palace | €18.00m |
| 12 | Keylor Navas | Kiper | 36 | Costa Rica/Spain | UNAM Pumas | €4.00m |
| 13 | Wayne Hennessey | Kiper | 36 | Wales | Pensiun | €400k |
| - | Jordan Smith | Kiper | 28 | England | Hibernian FC | €250k |
| - | Adnan Kanuric | Kiper | 22 | Bosnia/Austria | FC Malisheva | €150k |
| - | George Shelvey | Kiper | 22 | England | Tanpa Klub | - |
| 19 | Moussa Niakhaté | Bek Tengah | 27 | Senegal/France | Olympique Lyon | €18.00m |
| - | Loïc Badé | Bek Tengah | 23 | France/Cote d'Ivoire | Bayer Leverkusen | €12.00m |
| 4 | Joe Worrall | Bek Tengah | 26 | England | Burnley FC | €12.00m |
| 26 | Scott McKenna | Bek Tengah | 26 | Scotland | GNK Dinamo Zagreb | €10.00m |
| 2 | Giulian Biancone | Bek Tengah | 23 | France | RSC Anderlecht | €6.00m |
| - | Jonathan Panzo | Bek Tengah | 22 | England/Cote d'Ivoire | Tanpa Klub | €3.00m |
| 30 | Willy Boly | Bek Tengah | 32 | Cote d'Ivoire/France | Tanpa Klub | €2.50m |
| - | Loïc Mbe Soh | Bek Tengah | 22 | France/Cameroon | AC Sparta Prague | €2.00m |
| 38 | Felipe | Bek Tengah | 34 | Brazil | Pensiun | €2.00m |
| 3 | Steve Cook | Bek Tengah | 32 | England | Wycombe Wanderers | €1.80m |
| - | Aaron Donnelly | Bek Tengah | 20 | N. Ireland/Ireland | Dunfermline Athletic FC | €400k |
| - | Zach Abbott | Bek Tengah | 17 | England | Nottingham Forest | €250k |
| 7 | Neco Williams | Bek Kiri | 22 | Wales | Nottingham Forest | €20.00m |
| 32 | Renan Lodi | Bek Kiri | 25 | Brazil/Italy | Clube Atlético Mineiro | €20.00m |
